stock_id,res,ct,year,,,,,,
Peprilus medius,high,1285.14,2011,,,,,,
Peprilus medius,high,2774.00,2010,,,,,,
Peprilus medius,high,10253.49,2009,,,,,,
Peprilus medius,high,4335.03,2008,,,,,,
Peprilus medius,high,1290984.22,2007,,,,,,
Peprilus medius,high,3264.92,2006,,,,,,
Peprilus medius,high,1663.33,2005,,,,,,
Peprilus medius,high,3112.84,2004,,,,,,
Coryphaena hippurus,medium,2328.10,2013,,,,,,
Coryphaena hippurus,medium,16032.40,2012,,,,,,
Coryphaena hippurus,medium,15054.50,2011,,,,,,
Coryphaena hippurus,medium,9325.80,2010,,,,,,
Coryphaena hippurus,medium,445.20,2009,,,,,,
Coryphaena hippurus,medium,13490.80,2008,,,,,,
Coryphaena hippurus,medium,3865.30,2007,,,,,,
Coryphaena hippurus,medium,3637.74,2006,,,,,,
Coryphaena hippurus,medium,2300.10,2005,,,,,,
Coryphaena hippurus,medium,4837.80,2004,,,,,,
Xiphias glaudius,low,849.50,2013,,,,,,
Xiphias glaudius,low,2138.00,2012,,,,,,
Xiphias glaudius,low,2279.90,2011,,,,,,
Xiphias glaudius,low,3413.80,2010,,,,,,
Xiphias glaudius,low,368.50,2009,,,,,,
Xiphias glaudius,low,1256.70,2008,,,,,,
Xiphias glaudius,low,585.60,2007,,,,,,
Xiphias glaudius,low,718.04,2006,,,,,,
Xiphias glaudius,low,126.60,2005,,,,,,
Xiphias glaudius,low,0.60,2004,,,,,,
Protrachypene precipua,high,3019.00,2014,,,,,,
Protrachypene precipua,high,2074.00,2013,,,,,,
Protrachypene precipua,high,5568.90,2012,,,,,,
Protrachypene precipua,high,4187.70,2011,,,,,,
Protrachypene precipua,high,7155.00,2010,,,,,,
Protrachypene precipua,high,7011.94,2009,,,,,,
Protrachypene precipua,high,5704.00,2008,,,,,,
Protrachypene precipua,high,5900.00,2007,,,,,,
Protrachypene precipua,high,6395.71,2006,,,,,,
Protrachypene precipua,high,11154.73,2005,,,,,,
